pos_name,state,source_sheet,latitude,longitude
TeqGreen_Wasi_klm_HS,Maharashtra,WRLDC,18.67480556,75.54119444
RGMHS3_PSS5_SLPR_S,Maharashtra,WRLDC,17.586204,76.166309
RenewGreenTN3_SLPR_S,Maharashtra,WRLDC,17.589,76.1609
RenewGreen_SLPR_HS,Maharashtra,WRLDC,17.5446,76.1454
SOLAPUR_SOLAR,Maharashtra,WRLDC,17.552994,75.985641
Warora 220kV,Maharashtra,MH,20.22,79.0
Walwhan 132kV,Maharashtra,MH,17.53941,75.43031
Wagdari 132kV,Maharashtra,MH,17.61834,76.37453
Wadala 33kV,Maharashtra,MH,17.872758,75.86934
Varkute-Malwadi 220kV,Maharashtra,MH,17.6,74.8
Telgaon 132kV,Maharashtra,MH,18.97043,76.21077
Shivajinagar 220kV,Maharashtra,MH,21.08938,74.4282
Shirsuphal 220kV,Maharashtra,MH,18.19091,74.34081
Rajpimpri Solar 132kV,Maharashtra,MH,19.23806,75.69066
Pathri 132kV,Maharashtra,MH,19.285991,76.464202
Palaswadi 110kV,Maharashtra,MH,17.5,75.0
New MIDC Jalgaon 132kV,Maharashtra,MH,20.9330052,75.5544866
Naldurg 132kV,Maharashtra,MH,17.90712,76.31793
Murtizapur 132kV,Maharashtra,MH,20.72529,77.44789
Muktainagar 132kV,Maharashtra,MH,21.03286,75.98101
Mohol 132kV,Maharashtra,MH,17.793293,75.583293
Mograle 132kV,Maharashtra,MH,17.86475,74.53736
Mandrup 132kV,Maharashtra,MH,17.49642,75.7767
Mahtargaon 132kV,Maharashtra,MH,18.92626,76.39638
Kombhalne Solar 132kV,Maharashtra,MH,19.61222,73.92783
Kharda 132kV,Maharashtra,MH,18.6703981,75.5194603
Katol 132kV,Maharashtra,MH,21.31774,78.60199
Karajgi 132kV,Maharashtra,MH,17.45564,76.05927
JBM Solar 132kV,Maharashtra,MH,20.36611,75.03609
Jamde Solar 220kV,Maharashtra,MH,21.0559,74.29365
Five Star MIDC 220kV,Maharashtra,MH,16.6135,74.370966
Fermi Solar 132kV,Maharashtra,MH,20.4,75.0
Chandrapur 33kV,Maharashtra,MH,20.02149,79.27208
